nomApplication;typeEnvironnement;nomEquipementVirtuel;nomSourceDonneeEquipementVirtuel;domaine;sousDomaine;nomEntite;nomSourceDonnee;nomEquipementPhysique
application-112;Production;virtual-eq-1461;;Domain 81;Sub Domain 1;BRAND F Italy;;physical-eq-1266
application-113;Production;virtual-eq-1463;;Domain 82;Sub Domain 2;BRAND B SERVICES;;physical-eq-1124
application-114;Production;virtual-eq-1737;;Domain 83;Sub Domain 3;ACME SERVICES;;physical-eq-1267
application-115;Production;virtual-eq-1107;;Domain 1;Sub Domain 1;BRAND B SERVICES;;physical-eq-1098
application-117;Production;virtual-eq-915;;Domain 11;Sub Domain 3;ACME SERVICES;;physical-eq-1265
application-118;Production;virtual-eq-2938;;Domain 84;Sub Domain 1;ACME SERVICES;;physical-eq-1136
application-120;Production;virtual-eq-2201;;Domain 30;Sub Domain 3;ACME SERVICES;;physical-eq-1266
application-123;Developpement;virtual-eq-93;;Domain 54;Sub Domain 3;ACME SERVICES;;physical-eq-1079
application-124;Pre-production;virtual-eq-3644;;Domain 13;Sub Domain 1;ACME SERVICES;;physical-eq-1025
application-126;Developpement;virtual-eq-307;;Domain 86;Sub Domain 3;ACME SERVICES;;physical-eq-1172
application-127;Production;virtual-eq-1815;;Domain 45;Sub Domain 1;ACME SERVICES;;physical-eq-1105
application-129;Production;virtual-eq-145;;Domain 88;Sub Domain 3;ACME BRAND A France;;physical-eq-1104
application-132;Production;virtual-eq-4129;;Domain 90;Sub Domain 3;ACME SERVICES;;physical-eq-1090
application-133;Production;virtual-eq-89;;Domain 91;Sub Domain 1;ACME SERVICES;;physical-eq-1095
application-134;Production;virtual-eq-2639;;Domain 38;Sub Domain 2;ACME SERVICES;;physical-eq-1276
application-136;Production;virtual-eq-2402;;Domain 92;Sub Domain 1;ACME BRAND A Portugal;;physical-eq-1160
application-137;Production;virtual-eq-193;;Domain 88;Sub Domain 2;ACME BRAND A Italy;;physical-eq-1056
application-139;Production;virtual-eq-3821;;Domain 94;Sub Domain 1;ACME BRAND A China;;physical-eq-1297
application-140;Production;virtual-eq-1801;;Domain 11;Sub Domain 2;ACME BRAND A Italy;;physical-eq-1265
application-142;Production;virtual-eq-82;;Domain 95;Sub Domain 1;ACME SERVICES;;physical-eq-1266
application-147;Pre-production;virtual-eq-124;;Domain 54;Sub Domain 3;ACME SERVICES;;physical-eq-1000
application-148;Pre-production;virtual-eq-3911;;Domain 98;Sub Domain 1;ACME SERVICES;;physical-eq-1011
application-149;Pre-production;virtual-eq-26;;Domain 33;Sub Domain 2;ACME BRAND A France;;physical-eq-1091
application-152;Production;virtual-eq-1413;;Domain 1;Sub Domain 2;ACME BRAND A France;;physical-eq-1098
application-154;Production;virtual-eq-67;;Domain 26;Sub Domain 1;ACME BRAND A Portugal;;physical-eq-1068
application-156;Qualification;virtual-eq-3514;;Domain 100;Sub Domain 3;ACME SERVICES;;physical-eq-1200
application-158;Production;virtual-eq-4145;;Domain 30;Sub Domain 2;ACME SERVICES;;physical-eq-1089
application-159;Recette;virtual-eq-1097;;Domain 8;Sub Domain 3;ACME SERVICES;;physical-eq-1278
application-162;Developpement;virtual-eq-2116;;Domain 87;Sub Domain 3;ACME SERVICES;;physical-eq-1094
application-164;Production;virtual-eq-987;;Domain 19;Sub Domain 2;ACME SERVICES;;physical-eq-1101
application-165;Pre-production;virtual-eq-990;;Domain 68;Sub Domain 3;ACME SERVICES;;physical-eq-1026
application-166;Pre-production;virtual-eq-1139;;Domain 103;Sub Domain 1;ACME SERVICES;;physical-eq-1011
application-168;Production;virtual-eq-2866;;Domain 105;Sub Domain 3;ACME SERVICES;;physical-eq-1225
application-170;Production;virtual-eq-178;;Domain 106;Sub Domain 2;ACME SERVICES;;physical-eq-1163
application-171;Production;virtual-eq-3189;;Domain 107;Sub Domain 3;ACME SERVICES;;physical-eq-1163
application-172;Production;virtual-eq-3192;;Domain 85;Sub Domain 1;ACME SERVICES;;physical-eq-1104
application-175;Recette;virtual-eq-50;;Domain 88;Sub Domain 1;ACME BRAND A China;;physical-eq-1072
application-176;Pre-production;virtual-eq-2321;;Domain 66;Sub Domain 2;ACME SERVICES;;physical-eq-994
application-177;Production;virtual-eq-3149;;Domain 58;Sub Domain 3;ACME BRAND A Portugal;;physical-eq-1150
application-179;Developpement;virtual-eq-3944;;Domain 47;Sub Domain 2;ACME SERVICES;;physical-eq-1155
application-180;Production;virtual-eq-149;;Domain 108;Sub Domain 3;ACME SERVICES;;physical-eq-1239
application-181;Production;virtual-eq-150;;Domain 106;Sub Domain 1;ACME SERVICES;;physical-eq-1163
application-186;Developpement;virtual-eq-2;;Domain 72;Sub Domain 3;ACME SERVICES;;physical-eq-1051
application-187;Recette;virtual-eq-2573;;Domain 47;Sub Domain 1;ACME BRAND A France;;physical-eq-1155
application-189;Qualification;virtual-eq-3703;;Domain 68;Sub Domain 3;ACME BRAND A France;;physical-eq-1121
application-190;Pre-production;virtual-eq-1232;;Domain 60;Sub Domain 1;ACME BRAND A France;;physical-eq-1008
application-194;Production;virtual-eq-3792;;Domain 55;Sub Domain 2;BRAND F Italy;;physical-eq-1063
application-195;Pre-production;virtual-eq-2500;;Domain 110;Sub Domain 3;ACME SERVICES;;physical-eq-1202
application-197;Recette;virtual-eq-1441;;Domain 71;Sub Domain 2;ACME SERVICES;;physical-eq-1116
application-198;Recette;virtual-eq-3270;;Domain 111;Sub Domain 3;ACME BRAND A France;;physical-eq-1072
application-199;Pre-production;virtual-eq-1308;;Domain 102;Sub Domain 1;ACME SERVICES;;physical-eq-1191
application-200;Production;virtual-eq-3602;;Domain 48;Sub Domain 2;ACME BRAND A France;;physical-eq-1165
application-202;Production;virtual-eq-2925;;Domain 112;Sub Domain 1;ACME SERVICES;;physical-eq-1088
application-203;Production;virtual-eq-1047;;Domain 22;Sub Domain 2;ACME BRAND A France;;physical-eq-1055
application-204;Production;virtual-eq-1289;;Domain 102;Sub Domain 3;ACME BRAND A France;;physical-eq-1013
application-205;Pre-production;virtual-eq-2470;;Domain 25;Sub Domain 1;ACME SERVICES;;physical-eq-1036
application-207;Recette;virtual-eq-2341;;Domain 44;Sub Domain 3;ACME SERVICES;;physical-eq-1237
application-208;Production;virtual-eq-2364;;Domain 113;Sub Domain 1;BRAND F Italy;;physical-eq-1063
application-209;Test;virtual-eq-4318;;Domain 1;Sub Domain 2;ACME BRAND A France;;physical-eq-1149
application-211;Production;virtual-eq-2135;;Domain 114;Sub Domain 1;ACME BRAND A France;;physical-eq-1265
application-213;Production;virtual-eq-4287;;Domain 115;Sub Domain 3;ACME SERVICES;;physical-eq-1142
application-214;Pre-production;virtual-eq-2148;;Domain 33;Sub Domain 1;ACME BRAND A China;;physical-eq-1087
application-216;Production;virtual-eq-4298;;Domain 68;Sub Domain 3;ACME SERVICES;;physical-eq-1034
application-217;Production;virtual-eq-2456;;Domain 117;Sub Domain 1;ACME BRAND A Italy;;physical-eq-1259
application-221;Pre-production;virtual-eq-976;;Domain 119;Sub Domain 2;ACME SERVICES;;physical-eq-1058
application-222;Production;virtual-eq-3915;;Domain 38;Sub Domain 3;ACME SERVICES;;physical-eq-1255
application-223;Production;virtual-eq-3922;;Domain 55;Sub Domain 1;BRAND F Italy;;physical-eq-1100
application-224;Production;virtual-eq-21;;Domain 32;Sub Domain 2;BRAND F Italy;;physical-eq-1095
application-225;Production;virtual-eq-1025;;Domain 92;Sub Domain 3;BRAND F Italy;;physical-eq-1098
application-227;Pre-production;virtual-eq-2963;;Domain 71;Sub Domain 2;ACME SERVICES;;physical-eq-995
application-228;Production;virtual-eq-2975;;Domain 120;Sub Domain 3;BRAND B SERVICES;;physical-eq-1272
application-229;Production;virtual-eq-2984;;Domain 47;Sub Domain 1;ACME SERVICES;;physical-eq-1043
application-230;Recette;virtual-eq-138;;Domain 54;Sub Domain 2;ACME SERVICES;;physical-eq-1051
application-231;Production;virtual-eq-1993;;Domain 105;Sub Domain 3;ACME SERVICES;;physical-eq-1143
application-232;Pre-production;virtual-eq-2250;;Domain 31;Sub Domain 1;ACME BRAND A China;;physical-eq-1012
application-235;Production;virtual-eq-1684;;Domain 121;Sub Domain 1;ACME SERVICES;;physical-eq-1278
application-237;Production;virtual-eq-1738;;Domain 122;Sub Domain 3;ACME SERVICES;;physical-eq-1054
application-238;Pre-production;virtual-eq-3755;;Domain 55;Sub Domain 1;ACME BRAND A France;;physical-eq-1026
application-241;Pre-production;virtual-eq-470;;Domain 42;Sub Domain 1;ACME BRAND A France;;physical-eq-1021
application-242;Production;virtual-eq-2827;;Domain 124;Sub Domain 2;ACME BRAND A France;;physical-eq-995
application-243;Production;virtual-eq-2654;;Domain 13;Sub Domain 3;ACME BRAND A France;;physical-eq-1054
application-244;Developpement;virtual-eq-1010;;Domain 125;Sub Domain 1;ACME SERVICES;;physical-eq-1198
application-245;Production;virtual-eq-3713;;Domain 69;Sub Domain 2;ACME SERVICES;;physical-eq-995
application-247;Production;virtual-eq-2426;;Domain 127;Sub Domain 1;ACME SERVICES;;physical-eq-995
application-248;Developpement;virtual-eq-184;;Domain 88;Sub Domain 2;ACME SERVICES;;physical-eq-1079
application-250;Pre-production;virtual-eq-350;;Domain 128;Sub Domain 1;ACME BRAND A Italy;;physical-eq-1095
application-251;Test;virtual-eq-2490;;Domain 62;Sub Domain 2;ACME SERVICES;;physical-eq-1280
application-252;Pre-production;virtual-eq-3638;;Domain 33;Sub Domain 3;ACME BRAND A China;;physical-eq-1106
application-254;Production;virtual-eq-3068;;Domain 16;Sub Domain 2;ACME SERVICES;;physical-eq-1223
application-255;Production;virtual-eq-3421;;Domain 38;Sub Domain 3;ACME SERVICES;;physical-eq-1263
application-256;Recette;virtual-eq-3429;;Domain 18;Sub Domain 1;ACME SERVICES;;physical-eq-1092
application-258;Pre-production;virtual-eq-1823;;Domain 129;Sub Domain 3;ACME BRAND A France;;physical-eq-1223
application-259;Pre-production;virtual-eq-1824;;Domain 130;Sub Domain 1;ACME SERVICES;;physical-eq-1147
application-260;Pre-production;virtual-eq-2017;;Domain 31;Sub Domain 2;ACME SERVICES;;physical-eq-1012
application-261;Pre-production;virtual-eq-146;;Domain 88;Sub Domain 3;ACME SERVICES;;physical-eq-1022
application-262;Pre-production;virtual-eq-146;;Domain 91;Sub Domain 1;ACME BRAND A France;;physical-eq-1022
application-265;Recette;virtual-eq-994;;Domain 111;Sub Domain 1;ACME BRAND A France;;physical-eq-1262
application-269;Production;virtual-eq-3983;;Domain 131;Sub Domain 2;ACME SERVICES;;physical-eq-1262
application-270;Production;virtual-eq-3985;;Domain 83;Sub Domain 3;ACME BRAND A France;;physical-eq-1261
application-271;Production;virtual-eq-3993;;Domain 17;Sub Domain 1;ACME SERVICES;;physical-eq-1105
application-272;Pre-production;virtual-eq-1787;;Domain 102;Sub Domain 2;ACME SERVICES;;physical-eq-1174
application-274;Production;virtual-eq-4191;;Domain 98;Sub Domain 1;BRAND D France;;physical-eq-1055
application-277;Pre-production;virtual-eq-4230;;Domain 132;Sub Domain 1;ACME SERVICES;;physical-eq-1012
application-279;Pre-production;virtual-eq-3475;;Domain 13;Sub Domain 3;ACME SERVICES;;physical-eq-1007
application-280;Production;virtual-eq-3903;;Domain 58;Sub Domain 1;ACME SERVICES;;physical-eq-1063
application-283;Production;virtual-eq-3663;;Domain 14;Sub Domain 1;ACME SERVICES;;physical-eq-1095
application-284;Pre-production;virtual-eq-1418;;Domain 66;Sub Domain 2;ACME SERVICES;;physical-eq-1011
application-285;Production;virtual-eq-575;;Domain 71;Sub Domain 3;ACME SERVICES;;physical-eq-1269
application-286;Pre-production;virtual-eq-578;;Domain 30;Sub Domain 1;ACME BRAND A France;;physical-eq-1141
application-287;Production;virtual-eq-1394;;Domain 132;Sub Domain 2;ACME BRAND A France;;physical-eq-1160
application-290;Recette;virtual-eq-348;;Domain 73;Sub Domain 2;ACME BRAND A Portugal;;physical-eq-1155
application-291;Developpement;virtual-eq-745;;Domain 133;Sub Domain 3;ACME SERVICES;;physical-eq-1237
application-295;Production;virtual-eq-2516;;Domain 62;Sub Domain 1;ACME BRAND A France;;physical-eq-1173
application-297;Developpement;virtual-eq-1058;;Domain 135;Sub Domain 3;ACME SERVICES;;physical-eq-1155
application-299;Pre-production;virtual-eq-4262;;Domain 58;Sub Domain 2;ACME SERVICES;;physical-eq-1007
application-300;Developpement;virtual-eq-4273;;Domain 37;Sub Domain 3;ACME BRAND A France;;physical-eq-1076
application-302;Production;virtual-eq-1144;;Domain 26;Sub Domain 2;ACME BRAND A France;;physical-eq-1174
application-304;Production;virtual-eq-2870;;Domain 69;Sub Domain 1;ACME SERVICES;;physical-eq-1202
application-309;Production;virtual-eq-3196;;Domain 13;Sub Domain 3;ACME BRAND A France;;physical-eq-1147
application-310;Developpement;virtual-eq-1974;;Domain 8;Sub Domain 1;ACME SERVICES;;physical-eq-1072
application-311;Production;virtual-eq-756;;Domain 28;Sub Domain 2;ACME BRAND A France;;physical-eq-1164
application-313;Pre-production;virtual-eq-2323;;Domain 53;Sub Domain 1;ACME BRAND A France;;physical-eq-1143
application-318;Production;virtual-eq-1355;;Domain 21;Sub Domain 3;ACME SERVICES;;physical-eq-1098
application-320;Pre-production;virtual-eq-2060;;Domain 138;Sub Domain 2;ACME SERVICES;;physical-eq-1142
application-321;Production;virtual-eq-1168;;Domain 63;Sub Domain 3;BRAND F Italy;;physical-eq-1102
application-324;Debug;virtual-eq-132;;Domain 88;Sub Domain 3;ACME BRAND A France;;physical-eq-1051
application-325;Production;virtual-eq-3593;;Domain 139;Sub Domain 1;ACME BRAND A France;;physical-eq-1055
application-327;Pre-production;virtual-eq-2196;;Domain 44;Sub Domain 3;ACME BRAND A China;;physical-eq-1011
application-329;Pre-production;virtual-eq-3;;Domain 88;Sub Domain 2;ACME SERVICES;;physical-eq-1015
application-330;Pre-production;virtual-eq-3;;Domain 91;Sub Domain 3;ACME BRAND A Italy;;physical-eq-1015
application-332;Pre-production;virtual-eq-943;;Domain 73;Sub Domain 2;ACME SERVICES;;physical-eq-1163
application-334;Production;virtual-eq-1233;;Domain 102;Sub Domain 1;ACME SERVICES;;physical-eq-994
application-335;Production;virtual-eq-3017;;Domain 131;Sub Domain 2;ACME SERVICES;;physical-eq-1163
application-336;Recette;virtual-eq-175;;Domain 72;Sub Domain 3;BRAND F Italy;;physical-eq-1072
application-337;Production;virtual-eq-176;;Domain 143;Sub Domain 1;BRAND F Italy;;physical-eq-1055
application-338;Production;virtual-eq-691;;Domain 144;Sub Domain 2;BRAND F Italy;;physical-eq-1268
application-339;Recette;virtual-eq-3270;;Domain 8;Sub Domain 3;BRAND B SERVICES;;physical-eq-1072
application-341;Pre-production;virtual-eq-3280;;Domain 13;Sub Domain 2;BRAND B SERVICES;;physical-eq-1025
application-342;Production;virtual-eq-3284;;Domain 145;Sub Domain 3;ACME SERVICES;;physical-eq-1261
application-344;Production;virtual-eq-493;;Domain 70;Sub Domain 2;ACME SERVICES;;physical-eq-1272
application-345;Production;virtual-eq-1504;;Domain 132;Sub Domain 3;ACME BRAND A China;;physical-eq-1239
application-346;Production;virtual-eq-536;;Domain 146;Sub Domain 1;ACME SERVICES;;physical-eq-1143
application-350;Recette;virtual-eq-144;;Domain 91;Sub Domain 2;ACME SERVICES;;physical-eq-1051
application-352;Production;virtual-eq-4304;;Domain 147;Sub Domain 1;ACME SERVICES;;physical-eq-1184
application-353;Developpement;virtual-eq-377;;Domain 148;Sub Domain 2;ACME SERVICES;;physical-eq-1159
application-355;Production;virtual-eq-2527;;Domain 111;Sub Domain 1;ACME BRAND A France;;physical-eq-1233
application-356;Production;virtual-eq-2139;;Domain 140;Sub Domain 2;ACME BRAND A France;;physical-eq-1233
application-358;Production;virtual-eq-10;;Domain 88;Sub Domain 1;ACME SERVICES;;physical-eq-1053
application-360;Pre-production;virtual-eq-3913;;Domain 17;Sub Domain 3;ACME SERVICES;;physical-eq-1037
application-363;Developpement;virtual-eq-501;;Domain 72;Sub Domain 3;ACME BRAND A Italy;;physical-eq-1159
application-366;Production;virtual-eq-506;;Domain 16;Sub Domain 3;ACME BRAND A Italy;;physical-eq-1054
application-367;Production;virtual-eq-1255;;Domain 21;Sub Domain 1;ACME SERVICES;;physical-eq-1182
application-368;Production;virtual-eq-3041;;Domain 38;Sub Domain 2;ACME SERVICES;;physical-eq-1278
application-370;Production;virtual-eq-3172;;Domain 100;Sub Domain 1;ACME SERVICES;;physical-eq-1202
application-372;Production;virtual-eq-1470;;Domain 53;Sub Domain 3;ACME SERVICES;;physical-eq-1012
application-373;Production;virtual-eq-681;;Domain 33;Sub Domain 1;ACME SERVICES;;physical-eq-1071
application-378;Pre-production;virtual-eq-1015;;Domain 59;Sub Domain 3;ACME BRAND A France;;physical-eq-1266
application-383;Production;virtual-eq-2299;;Domain 66;Sub Domain 2;ACME BRAND A France;;physical-eq-1160
application-385;Pre-production;virtual-eq-2311;;Domain 91;Sub Domain 1;ACME SERVICES;;physical-eq-1026
application-386;Production;virtual-eq-1201;;Domain 32;Sub Domain 2;ACME SERVICES;;physical-eq-1087
application-387;Qualification;virtual-eq-43;;Domain 72;Sub Domain 3;BRAND D France;;physical-eq-1123
application-389;Developpement;virtual-eq-2533;;Domain 65;Sub Domain 2;ACME SERVICES;;physical-eq-1093
application-390;Debug;virtual-eq-2211;;Domain 88;Sub Domain 3;ACME SERVICES;;physical-eq-1216
application-391;Qualification;virtual-eq-2216;;Domain 151;Sub Domain 1;ACME SERVICES;;physical-eq-1146
application-392;Test;virtual-eq-1960;;Domain 152;Sub Domain 2;ACME SERVICES;;physical-eq-1198
application-393;Production;virtual-eq-2579;;Domain 153;Sub Domain 3;ACME SERVICES;;physical-eq-1267
application-395;Pre-production;virtual-eq-5;;Domain 91;Sub Domain 2;ACME SERVICES;;physical-eq-1034
application-398;Recette;virtual-eq-3493;;Domain 55;Sub Domain 2;ACME SERVICES;;physical-eq-1048
application-2266;Production;virtual-eq-309;;;Sub Domain 1;ACME BRAND A China;;physical-eq-1195
application-2276;Developpement;virtual-eq-1330;;;;ACME BRAND A France;;physical-eq-1268
application-2279;Production;virtual-eq-1612;;;;ACME SERVICES;;physical-eq-1143
application-2281;Pre-production;virtual-eq-2118;;;;ACME SERVICES;;physical-eq-1266
application-2284;Production;virtual-eq-293;;;;ACME BRAND A Italy;;physical-eq-1138
application-2286;Production;virtual-eq-288;;;;ACME BRAND A China;;physical-eq-1230
application-2288;Production;virtual-eq-3585;;;;ACME SERVICES;;physical-eq-1256
application-2290;Test;virtual-eq-405;;;;ACME SERVICES;;physical-eq-1297
application-2292;Qualification;virtual-eq-4029;;;;ACME BRAND A France;;physical-eq-1111
application-2294;Recette;virtual-eq-1235;;;;ACME SERVICES;;physical-eq-1170
application-2295;Production;virtual-eq-297;;;;ACME SERVICES;;physical-eq-1052
application-2296;Production;virtual-eq-591;;;;ACME BRAND A France;;physical-eq-1163
application-2298;Recette;virtual-eq-763;;;;ACME SERVICES;;physical-eq-1278
application-2300;Recette;virtual-eq-4312;;;;ACME SERVICES;;physical-eq-1261
application-2304;Production;virtual-eq-63;;;;ACME BRAND A France;;physical-eq-1258
application-2308;Production;virtual-eq-372;;;;BRAND D France;;physical-eq-1180
application-2310;Pre-production;virtual-eq-1791;;;;ACME SERVICES;;physical-eq-1171
application-2313;Pre-production;virtual-eq-2479;;;;ACME SERVICES;;physical-eq-1280
application-2315;Pre-production;virtual-eq-317;;;;ACME SERVICES;;physical-eq-1153
application-2319;Pre-production;virtual-eq-733;;;;ACME SERVICES;;physical-eq-1166
application-2321;Production;virtual-eq-749;;;;ACME BRAND A France;;physical-eq-1319
application-2324;Production;virtual-eq-3779;;;;ACME BRAND A Portugal;;physical-eq-1173
application-2328;Recette;virtual-eq-2342;;;;ACME SERVICES;;physical-eq-1108
application-2330;Production;virtual-eq-814;;;;ACME SERVICES;;physical-eq-1257
application-2332;Pre-production;virtual-eq-290;;;;BRAND E Spain;;physical-eq-1219
application-2334;Pre-production;virtual-eq-2378;;;;ACME BRAND A France;;physical-eq-1256
application-2336;Production;virtual-eq-1712;;;;ACME BRAND A France;;physical-eq-1009
application-2340;Pre-production;virtual-eq-351;;;;ACME SERVICES;;physical-eq-1115
application-2342;Pre-production;virtual-eq-1525;;;;ACME SERVICES;;physical-eq-1265
application-2343;Production;virtual-eq-790;;;;ACME BRAND A France;;physical-eq-1255
application-2345;Pre-production;virtual-eq-1845;;;;ACME BRAND A France;;physical-eq-1119
application-2346;Production;virtual-eq-1847;;;;ACME SERVICES;;physical-eq-1174
application-2348;Production;virtual-eq-1921;;;;ACME BRAND A France;;physical-eq-1109
application-2350;Qualification;virtual-eq-29;;;;ACME BRAND A France;;physical-eq-1257
application-2352;Production;virtual-eq-1622;;;;ACME SERVICES;;physical-eq-1166
application-2355;Developpement;virtual-eq-527;;;;BRAND F Italy;;physical-eq-1267
application-2357;Production;virtual-eq-318;;;;ACME BRAND A France;;physical-eq-1189
application-2361;Pre-production;virtual-eq-298;;;;ACME BRAND A China;;physical-eq-1227
application-2363;Pre-production;virtual-eq-3089;;;;ACME SERVICES;;physical-eq-1262
